price,sertifikasi,n_bed,n_bath,luas_bangunan,area,city
1850000000,shm,4,2,130,Jagakarsa, Jakarta Selatan
15500000000,shm,5,4,400,Cilandak, Jakarta Selatan
1500000000,shm,5,3,148,Pasar Minggu, Jakarta Selatan
474000000,shm,2,2,41,Tanjung Priok, Jakarta Utara
1050000000,shm,4,3,150,Cakung, Jakarta Timur
2000000004,shm,3,2,103,Palmerah, Jakarta Barat
750000000,shm,2,1,95,Matraman, Jakarta Timur
1400000003,shm,3,2,90,Jagakarsa, Jakarta Selatan
750000000,shm,3,2,70,Duren Sawit, Jakarta Timur
700000000,shm,3,3,250,Kemayoran, Jakarta Pusat
1500000000,shm,4,4,575,Cipayung, Jakarta Timur
2800000000,shm,4,4,160,Tanah Abang, Jakarta Pusat
3800000000,shm,4,4,200,Pesanggrahan, Jakarta Selatan
5700000000,shm,5,5,300,Cibubur, Jakarta Timur
500000000,shm,2,2,40,Cempaka Putih, Jakarta Pusat
7500000000,shm,5,5,355,Duren Sawit, Jakarta Timur
510000000,shm,2,1,40,Jagakarsa, Jakarta Selatan
1800000000,shm,3,1,69,Cakung, Jakarta Timur
3100000000,shm,3,2,140,Kelapa Gading, Jakarta Utara
509000000,shm,2,2,40,Pulo Gadung, Jakarta Timur
700000004,shm,2,2,55,Cengkareng, Jakarta Barat
2100000000,shm,6,3,170,Cibubur, Jakarta Timur
3200000000,shm,5,4,200,Tanah Abang, Jakarta Pusat
6500000000,shm,4,3,219,Pesanggrahan, Jakarta Selatan
2153000000,shm,4,3,125,Cempaka Putih, Jakarta Pusat
800000000,shm,3,2,100,Pasar Minggu, Jakarta Selatan
4200000000,shm,4,3,248,Pesanggrahan, Jakarta Selatan
2750000000,shm,5,5,200,Jagakarsa, Jakarta Selatan
1300000000,shm,3,2,75,Cipayung, Jakarta Timur
1655500000,shm,4,3,103,Cempaka Putih, Jakarta Pusat
2000000004,shm,3,2,103,Kembangan, Jakarta Barat
1200000000,shm,5,3,85,Kramat Jati, Jakarta Timur
2300000000,shm,5,2,140,Kramat Jati, Jakarta Timur
650000000,shm,2,2,38,Taman Sari, Jakarta Barat
2400000000,shm,3,3,94,Cempaka Putih, Jakarta Pusat
65000000,shm,3,2,90,Jagakarsa, Jakarta Selatan
2100000000,shm,1,3,130,Grogol Petamburan, Jakarta Barat
6600000000,shm,4,3,248,Grogol Petamburan, Jakarta Barat
7800000000,shm,5,4,348,Senen, Jakarta Pusat
3600000000,shm,4,5,250,Jagakarsa, Jakarta Selatan
2688000000,shm,4,3,144,Kelapa Gading, Jakarta Utara
2900000000,shm,3,3,137,Tomang, Jakarta Barat
895000000,shm,3,3,71,Cempaka Putih, Jakarta Pusat
420000000,shm,2,2,31,Jatinegara, Jakarta Timur
1500000000,shm,3,2,120,Johar Baru, Jakarta Pusat
500000000,shm,4,2,77,Penjaringan, Jakarta Utara
500000000,shm,4,2,77,Cibubur, Jakarta Timur
1450000000,shm,4,2,160,Kramat Jati, Jakarta Timur
4250000000,shm,3,2,150,Kembangan, Jakarta Barat
700000000,shm,3,2,50,Kebayoran Lama, Jakarta Selatan
473000000,shm,2,2,39,Kemayoran, Jakarta Pusat
590000000,shm,2,1,48,Pasar Minggu, Jakarta Selatan
500000000,shm,4,2,77,Kemang, Jakarta Selatan
500000000,shm,4,2,77,Cempaka Putih, Jakarta Pusat
8000000000,shm,4,4,360,Penjaringan, Jakarta Utara
10000000000,shm,8,4,750,Cilandak, Jakarta Selatan
500000000,shm,4,2,77,Kebon Jeruk, Jakarta Barat
5500000000,shm,6,4,300,Jatinegara, Jakarta Timur
10000000000,shm,10,10,1000,Kemang, Jakarta Selatan
8300000000,shm,10,10,850,Cempaka Putih, Jakarta Pusat
1775000000,shm,4,4,150,Jagakarsa, Jakarta Selatan
1500000000,shm,4,4,120,Jagakarsa, Jakarta Selatan
3650000000,shm,6,6,310,Jagakarsa, Jakarta Selatan
9200000000,shm,6,5,450,Kembangan, Jakarta Barat
850000000,shm,3,2,90,Cipayung, Jakarta Timur
1628000000,shm,2,3,68,Cempaka Putih, Jakarta Pusat
2100000000,shm,4,1,150,Kebayoran Lama, Jakarta Selatan
8764000000,shm,6,6,310,Kemang, Jakarta Selatan
2250000000,shm,4,4,180,Jagakarsa, Jakarta Selatan
1025000000,shm,3,2,100,Jagakarsa, Jakarta Selatan
1200000000,shm,4,2,160,Cilandak, Jakarta Selatan
8500000000,shm,4,3,600,Cilandak, Jakarta Selatan
700000001,shm,2,2,58,Jagakarsa, Jakarta Selatan
4000000000,shm,4,3,325,Kembangan, Jakarta Barat
10900000000,shm,5,4,400,Cilandak, Jakarta Selatan
900000000,shm,3,2,100,Jagakarsa, Jakarta Selatan
3700000000,shm,6,4,250,Pasar Minggu, Jakarta Selatan
11000000000,shm,4,4,330,Jagakarsa, Jakarta Selatan
972500000,shm,3,2,73,Cempaka Putih, Jakarta Pusat
2000000000,shm,4,2,200,Duren Sawit, Jakarta Timur
750000000,shm,2,1,66,Senen, Jakarta Pusat
2580000000,shm,2,2,152,Kramat Jati, Jakarta Timur
1775000000,shm,5,5,180,Jagakarsa, Jakarta Selatan
900000001,shm,3,2,58,Cengkareng, Jakarta Barat
2800000000,shm,4,4,160,Pulo Gadung, Jakarta Timur
3500000000,shm,4,4,155,Pulo Gadung, Jakarta Timur
4500000000,shm,6,4,400,Kebayoran Baru, Jakarta Selatan
1300000000,shm,4,2,176,Cakung, Jakarta Timur
1248000000,shm,2,2,82,Kramat Jati, Jakarta Timur
1500000000,shm,3,4,77,Pancoran, Jakarta Selatan
2500000000,shm,4,3,120,Kebayoran Lama, Jakarta Selatan
2580000000,shm,4,5,120,Pasar Minggu, Jakarta Selatan
1250000000,shm,5,5,160,Cipayung, Jakarta Timur
422000000,shm,1,2,31,Duren Sawit, Jakarta Timur
800000000,shm,3,2,60,Pasar Rebo, Jakarta Timur
1950000000,shm,4,4,130,Kebon Jeruk, Jakarta Barat
2000000000,shm,4,3,120,Jagakarsa, Jakarta Selatan
1400000001,shm,3,3,71,Kebayoran Lama, Jakarta Selatan
4750000000,shm,6,6,270,Kebayoran Baru, Jakarta Selatan
6900000000,shm,7,6,350,Kebayoran Lama, Jakarta Selatan
4200000000,shm,4,2,200,Kelapa Gading, Jakarta Utara
160000000,shm,1,1,30,Cipayung, Jakarta Timur
2800000000,shm,4,4,160,Jatinegara, Jakarta Timur
2400000000,shm,4,2,90,Jatinegara, Jakarta Timur
350000000,shm,2,1,53,Cipayung, Jakarta Timur
240000000,shm,2,1,30,Mampang Prapatan, Jakarta Selatan
2000000000,shm,3,2,86,Kembangan, Jakarta Barat
750000000,shm,3,1,60,Cilincing, Jakarta Utara
370000000,shm,2,1,118,Tanjung Priok, Jakarta Utara
3000000000,shm,4,4,192,Kebon Jeruk, Jakarta Barat
1618000000,shm,3,4,115,Cempaka Putih, Jakarta Pusat
8500000000,shm,4,4,300,Tebet, Jakarta Selatan
9900000000,shm,5,5,280,Kebayoran Lama, Jakarta Selatan
960000085,shm,3,2,65,Jagakarsa, Jakarta Selatan
660000000,shm,2,1,40,Jagakarsa, Jakarta Selatan
5000000000,shm,5,4,180,Cilandak, Jakarta Selatan
1800000000,shm,3,3,180,Duren Sawit, Jakarta Timur
13000000000,shm,10,3,458,Tanah Abang, Jakarta Pusat
2200000000,shm,3,2,80,Pasar Minggu, Jakarta Selatan
2000000004,shm,3,2,103,Mampang Prapatan, Jakarta Selatan
1400000003,shm,3,2,90,Mampang Prapatan, Jakarta Selatan
990000000,shm,2,1,36,Duren Sawit, Jakarta Timur
1485000000,shm,3,2,90,Cipayung, Jakarta Timur
950000000,shm,9,7,171,Pulo Gadung, Jakarta Timur
450000000,shm,5,2,80,Pesanggrahan, Jakarta Selatan
4900000000,shm,3,5,500,Cipayung, Jakarta Timur
2500000000,shm,4,3,160,Cipayung, Jakarta Timur
1365000000,shm,3,2,90,Duren Sawit, Jakarta Timur
1500000001,shm,3,2,58,Palmerah, Jakarta Barat
1550000000,shm,3,2,90,Jagakarsa, Jakarta Selatan
2500000000,shm,4,4,180,Kramat Jati, Jakarta Timur
4300000000,shm,6,5,400,Kramat Jati, Jakarta Timur
2700000000,shm,5,4,200,Kramat Jati, Jakarta Timur
1700000000,shm,5,2,250,Kramat Jati, Jakarta Timur
890000000,shm,2,1,50,Kramat Jati, Jakarta Timur
5500000000,shm,4,2,228,Kramat Jati, Jakarta Timur
1800000000,shm,4,2,160,Kramat Jati, Jakarta Timur
450000000,shm,1,1,45,Kramat Jati, Jakarta Timur
1650000000,shm,4,4,180,Kebon Jeruk, Jakarta Barat
6900000000,shm,5,5,600,Pasar Minggu, Jakarta Selatan
895000000,shm,3,2,71,Cempaka Putih, Jakarta Pusat
250000000,shm,2,1,50,Cilangkap, Jakarta Timur
