"price","desc","loc"
"Rp 1.395.000.000","3 KT - 2 KM - 98 m2","Cengkareng, Jakarta Barat"
"Rp 4.500.000.000","2 KT - 3 KM - 225 m2","Taman Sari, Jakarta Barat"
"Rp 2.649.000.000","4 KT - 3 KM - 160 m2","Kembangan, Jakarta Barat"
"Rp 8.500.000.000","4 KT - 4 KM - 213 m2","Penjaringan, Jakarta Utara"
"Rp 262.000.000","3 KT - 2 KM - 60 m2","Koja, Jakarta Utara"
"Rp 2.185.507.034","3 KT - 4 KM - 86 m2","Cakung, Jakarta Timur"
"Rp 5.500.000.000","4 KT - 4 KM - 249 m2","Pulo Gadung, Jakarta Timur"
"Rp 1",">10 KT - >10 KM - 300 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.959.990.000","1 KT - 1 KM - 70 m2","Jatinegara, Jakarta Timur"
"Rp 2.100.000.000","4 KT - 4 KM - 132 m2","Kalideres, Jakarta Barat"
"Rp 3.500.000.000",">10 KT - >10 KM - 250 m2","Sawah Besar, Jakarta Pusat"
"Rp 1.500.000.000","3 KT - 2 KM - 55 m2","Cakung, Jakarta Timur"
"Rp 3.400.000.000","3 KT - 3 KM - 200 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 1.800.000.000","4 KT - 3 KM - 160 m2","Cakung, Jakarta Timur"
"Rp 1.000.000","2 KT - 1 KM - 30 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 100.000.000","2 KT - 1 KM - 36 m2","Kebayoran Baru, Jakarta Selatan"
"Rp 6.000.000","1 KT - 1 KM - 1 m2","Cilincing, Jakarta Utara"
"Rp 390.000.000","2 KT - 1 KM - 60 m2","Kelapa Gading, Jakarta Utara"
"Rp 7.700.000.000",">10 KT - >10 KM - 560 m2","Menteng, Jakarta Pusat"
"Rp 9.800.000.000","5 KT - 5 KM - 700 m2","Kebon Jeruk, Jakarta Barat"
"Rp 725.000.000","2 KT - 1 KM - 46 m2","Jagakarsa, Jakarta Selatan"
"Rp 29.000.000.000","5 KT - 6 KM - 1050 m2","Pademangan, Jakarta Utara"
"Rp 1.850.000.000","3 KT - 2 KM - 140 m2","Cibubur, Jakarta Timur"
"Rp 750.000.000","3 KT - 2 KM - 75 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.480.000.000","3 KT - 3 KM - 160 m2","Cibubur, Jakarta Timur"
"Rp 1.750.000.012","3 KT - 3 KM - 94 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 1.502.940.030","3 KT - 2 KM - 91 m2","Pesanggrahan, Jakarta Selatan"
"Rp 17.500.000.000","7 KT - 3 KM - 400 m2","Senen, Jakarta Pusat"
"Rp 1.550.000.000","3 KT - 3 KM - 70 m2","Cakung, Jakarta Timur"
"Rp 2.200.000.000","4 KT - 3 KM - 87 m2","Cakung, Jakarta Timur"
"Rp 1.900.000.000","4 KT - 3 KM - 110 m2","Cakung, Jakarta Timur"
"Rp 600.000.000","6 KT - 3 KM - 15 m2","Penjaringan, Jakarta Utara"
"Rp 300.000.000","1 KT - 2 KM - 20 m2","Tambora, Jakarta Barat"
"Rp 1.400.000.000","3 KT - 2 KM - 52 m2","Cengkareng, Jakarta Barat"
"Rp 475.000.000","3 KT - 3 KM - 100 m2","Cilincing, Jakarta Utara"
"Rp 1.300.000.000","2 KT - 1 KM - 100 m2","Grogol Petamburan, Jakarta Barat"
"Rp 3.000.000.000","4 KT - 2 KM - 200 m2","Koja, Jakarta Utara"
"Rp 3.000.000.000","4 KT - 2 KM - 250 m2","Cempaka Putih, Jakarta Pusat"
"Rp 7.500.000.000","1 KT - 3 KM - 230 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.000.000.000","1 KT - 3 KM - 234 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 6.000.000.000","1 KT - 2 KM - 234 m2","Penjaringan, Jakarta Utara"
"Rp 20.900.000.000","6 KT - 6 KM - 900 m2","Tanjung Priok, Jakarta Utara"
"Rp 1.500.000.000","1 KT - 1 KM - 0 m2","Cilincing, Jakarta Utara"
"Rp 1.500.000.000","2 KT - 1 KM - 90 m2","Kelapa Gading, Jakarta Utara"
"Rp 3.800.000.000","3 KT - 2 KM - 200 m2","Pademangan, Jakarta Utara"
"Rp 5.750.000.000","4 KT - 4 KM - 225 m2","Pademangan, Jakarta Utara"
"Rp 1.100.000.000","3 KT - 1 KM - 85 m2","Sawah Besar, Jakarta Pusat"
"Rp 1.100.000.000","3 KT - 1 KM - 128 m2","Sawah Besar, Jakarta Pusat"
"Rp 1.400.000.000","3 KT - 3 KM - 86 m2","Jagakarsa, Jakarta Selatan"
"Rp 2.500.000","3 KT - 3 KM - 165 m2","Jagakarsa, Jakarta Selatan"
"Rp 18.547.400.000","5 KT - 2 KM - 625 m2","Cilandak, Jakarta Selatan"
"Rp 10.000.000.000","4 KT - 3 KM - 600 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 3.900.000.000","4 KT - 3 KM - 220 m2","Kalideres, Jakarta Barat"
"Rp 600.000.000","2 KT - 1 KM - 31 m2","Cengkareng, Jakarta Barat"
"Rp 2.000.000.000","4 KT - 2 KM - 138 m2","Pasar Minggu, Jakarta Selatan"
"Rp 1.670.000.000","3 KT - 2 KM - 95 m2","Kelapa Gading, Jakarta Utara"
"Rp 450.000.000","2 KT - 1 KM - 39 m2","Cilincing, Jakarta Utara"
"Rp 179.000.000","2 KT - 1 KM - 29 m2","Cempaka Putih, Jakarta Pusat"
"Rp 350.000.000","2 KT - 1 KM - 42 m2","Cempaka Putih, Jakarta Pusat"
"Rp 6.500.000.000","4 KT - 2 KM - 300 m2","Pademangan, Jakarta Utara"
