"price","desc","loc"
"Rp 875.000.000","2 KT - 1 KM - 90 m2","Tambora, Jakarta Barat"
"Rp 125.000.000","1 KT - 1 KM - 21 m2","Cilandak, Jakarta Selatan"
"Rp 110.000.000","2 KT - 1 KM - 25 m2","Jatinegara, Jakarta Timur"
"Rp 510.000.000","4 KT - 2 KM - 128 m2","Tanah Abang, Jakarta Pusat"
"Rp 6.700.000.000","5 KT - 4 KM - 600 m2","Kelapa Gading, Jakarta Utara"
"Rp 6.500.000.000","5 KT - 5 KM - 218 m2","Cakung, Jakarta Timur"
"Rp 235.000.000","1 KT - 1 KM - 40 m2","Cipayung, Jakarta Timur"
"Rp 240.000.000","1 KT - 1 KM - 60 m2","Pancoran, Jakarta Selatan"
"Rp 450.000.000","2 KT - 1 KM - 42 m2","Kramat Jati, Jakarta Timur"
"Rp 350.000.000","3 KT - 3 KM - 63 m2","Tanjung Priok, Jakarta Utara"
"Rp 300.000.000","4 KT - 2 KM - 100 m2","Kemang, Jakarta Selatan"
"Rp 1.200.000.000","3 KT - 2 KM - 144 m2","Cakung, Jakarta Timur"
"Rp 8.300.000.000","4 KT - 4 KM - 450 m2","Penjaringan, Jakarta Utara"
"Rp 24.000.000.000","7 KT - 7 KM - 600 m2","Penjaringan, Jakarta Utara"
"Rp 9.000.000.000","4 KT - 4 KM - 450 m2","Penjaringan, Jakarta Utara"
"Rp 14.000.000.000","4 KT - 5 KM - 480 m2","Penjaringan, Jakarta Utara"
"Rp 2.500.000.000","3 KT - 2 KM - 118 m2","Taman Sari, Jakarta Barat"
"Rp 450.000.000","3 KT - 3 KM - 52 m2","Kebon Jeruk, Jakarta Barat"
"Rp 1.300.000.000","3 KT - 1 KM - 150 m2","Makasar, Jakarta Timur"
"Rp 1.900.000.000","3 KT - 2 KM - 300 m2","Pulo Gadung, Jakarta Timur"
"Rp 4.600.000.000","3 KT - 3 KM - 143 m2","Penjaringan, Jakarta Utara"
"Rp 8.300.000.000","3 KT - 4 KM - 300 m2","Penjaringan, Jakarta Utara"
"Rp 5.950.000.000","3 KT - 4 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 5.900.000.000","4 KT - 5 KM - 320 m2","Penjaringan, Jakarta Utara"
"Rp 6.000.000.000","4 KT - 4 KM - 240 m2","Penjaringan, Jakarta Utara"
"Rp 3.300.000.000","3 KT - 4 KM - 126 m2","Penjaringan, Jakarta Utara"
"Rp 1.300.000.000","2 KT - 1 KM - 72 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 315.000.000","2 KT - 1 KM - 46 m2","Cipayung, Jakarta Timur"
"Rp 3.600.000.000","5 KT - 5 KM - 176 m2","Cipayung, Jakarta Timur"
"Rp 2.850.000.000","5 KT - 5 KM - 220 m2","Cengkareng, Jakarta Barat"
"Rp 4.500.000.000","3 KT - 3 KM - 162 m2","Pantai Indah Kapuk, Jakarta Utara"
"Rp 360.000.000","3 KT - 2 KM - 70 m2","Duren Sawit, Jakarta Timur"
"Rp 899.000.000","3 KT - 2 KM - 150 m2","Tambora, Jakarta Barat"
"Rp 435.000.000","2 KT - 1 KM - 45 m2","Jatinegara, Jakarta Timur"
"Rp 200.000.000","1 KT - 1 KM - 20 m2","Tambora, Jakarta Barat"
"Rp 1.249.000.000","4 KT - 4 KM - 200 m2","Duren Sawit, Jakarta Timur"
"Rp 2.400.000.000","4 KT - 3 KM - 168 m2","Cakung, Jakarta Timur"
"Rp 4.300.000.000","3 KT - 3 KM - 120 m2","Penjaringan, Jakarta Utara"
"Rp 1.125.000.000","2 KT - 2 KM - 63 m2","Penjaringan, Jakarta Utara"
"Rp 1.800.000.000","3 KT - 3 KM - 98 m2","Penjaringan, Jakarta Utara"
"Rp 500.000.000","2 KT - 1 KM - 80 m2","Cipayung, Jakarta Timur"
"Rp 53.000.000.000","3 KT - 3 KM - 741 m2","Setia Budi, Jakarta Selatan"
