"price","desc","loc"
"Rp 1.850.000.000","4 KT - 2 KM - 130 m2","Jagakarsa, Jakarta Selatan"
"Rp 15.500.000.000","5 KT - 4 KM - 400 m2","Cilandak, Jakarta Selatan"
"Rp 1.500.000.000","5 KT - 3 KM - 148 m2","Pasar Minggu, Jakarta Selatan"
"Rp 474.000.000","2 KT - 2 KM - 41 m2","Tanjung Priok, Jakarta Utara"
"Rp 1.050.000.000","4 KT - 3 KM - 150 m2","Cakung, Jakarta Timur"
"Rp 2.000.000.004","3 KT - 2 KM - 103 m2","Palmerah, Jakarta Barat"
"Rp 750.000.000","2 KT - 1 KM - 95 m2","Matraman, Jakarta Timur"
"Rp 1.400.000.003","3 KT - 2 KM - 90 m2","Jagakarsa, Jakarta Selatan"
"Rp 750.000.000","3 KT - 2 KM - 70 m2","Duren Sawit, Jakarta Timur"
"Rp 700.000.000","3 KT - 3 KM - 250 m2","Kemayoran, Jakarta Pusat"
"Rp 1.500.000.000","4 KT - 4 KM - 575 m2","Cipayung, Jakarta Timur"
"Rp 2.800.000.000","4 KT - 4 KM - 160 m2","Tanah Abang, Jakarta Pusat"
"Rp 3.800.000.000","4 KT - 4 KM - 200 m2","Pesanggrahan, Jakarta Selatan"
"Rp 5.700.000.000","5 KT - 5 KM - 300 m2","Cibubur, Jakarta Timur"
"Rp 500.000.000","2 KT - 2 KM - 40 m2","Cempaka Putih, Jakarta Pusat"
"Rp 7.500.000.000","5 KT - 5 KM - 355 m2","Duren Sawit, Jakarta Timur"
"Rp 510.000.000","2 KT - 1 KM - 40 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.800.000.000","3 KT - 1 KM - 69 m2","Cakung, Jakarta Timur"
"Rp 3.100.000.000","3 KT - 2 KM - 140 m2","Kelapa Gading, Jakarta Utara"
"Rp 509.000.000","2 KT - 2 KM - 40 m2","Pulo Gadung, Jakarta Timur"
"Rp 700.000.004","2 KT - 2 KM - 55 m2","Cengkareng, Jakarta Barat"
"Rp 2.100.000.000","6 KT - 3 KM - 170 m2","Cibubur, Jakarta Timur"
"Rp 3.200.000.000","5 KT - 4 KM - 200 m2","Tanah Abang, Jakarta Pusat"
"Rp 6.500.000.000","4 KT - 3 KM - 219 m2","Pesanggrahan, Jakarta Selatan"
"Rp 2.153.000.000","4 KT - 3 KM - 125 m2","Cempaka Putih, Jakarta Pusat"
"Rp 800.000.000","3 KT - 2 KM - 100 m2","Pasar Minggu, Jakarta Selatan"
"Rp 4.200.000.000","4 KT - 3 KM - 248 m2","Pesanggrahan, Jakarta Selatan"
"Rp 2.750.000.000","5 KT - 5 KM - 200 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.300.000.000","3 KT - 2 KM - 75 m2","Cipayung, Jakarta Timur"
"Rp 1.655.500.000","4 KT - 3 KM - 103 m2","Cempaka Putih, Jakarta Pusat"
"Rp 2.000.000.004","3 KT - 2 KM - 103 m2","Kembangan, Jakarta Barat"
"Rp 1.200.000.000","5 KT - 3 KM - 85 m2","Kramat Jati, Jakarta Timur"
"Rp 2.300.000.000","5 KT - 2 KM - 140 m2","Kramat Jati, Jakarta Timur"
"Rp 650.000.000","2 KT - 2 KM - 38 m2","Taman Sari, Jakarta Barat"
"Rp 2.400.000.000","3 KT - 3 KM - 94 m2","Cempaka Putih, Jakarta Pusat"
"Rp 65.000.000","3 KT - 2 KM - 90 m2","Jagakarsa, Jakarta Selatan"
"Rp 2.100.000.000","1 KT - 3 KM - 130 m2","Grogol Petamburan, Jakarta Barat"
"Rp 6.600.000.000","4 KT - 3 KM - 248 m2","Grogol Petamburan, Jakarta Barat"
"Rp 7.800.000.000","5 KT - 4 KM - 348 m2","Senen, Jakarta Pusat"
"Rp 3.600.000.000","4 KT - 5 KM - 250 m2","Jagakarsa, Jakarta Selatan"
"Rp 2.688.000.000","4 KT - 3 KM - 144 m2","Kelapa Gading, Jakarta Utara"
"Rp 2.900.000.000","3 KT - 3 KM - 137 m2","Tomang, Jakarta Barat"
"Rp 895.000.000","3 KT - 3 KM - 71 m2","Cempaka Putih, Jakarta Pusat"
"Rp 420.000.000","2 KT - 2 KM - 31 m2","Jatinegara, Jakarta Timur"
"Rp 1.500.000.000","3 KT - 2 KM - 120 m2","Johar Baru, Jakarta Pusat"
"Rp 500.000.000","4 KT - 2 KM - 77 m2","Penjaringan, Jakarta Utara"
"Rp 500.000.000","4 KT - 2 KM - 77 m2","Cibubur, Jakarta Timur"
"Rp 1.450.000.000","4 KT - 2 KM - 160 m2","Kramat Jati, Jakarta Timur"
"Rp 4.250.000.000","3 KT - 2 KM - 150 m2","Kembangan, Jakarta Barat"
"Rp 700.000.000","3 KT - 2 KM - 50 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 473.000.000","2 KT - 2 KM - 39 m2","Kemayoran, Jakarta Pusat"
"Rp 590.000.000","2 KT - 1 KM - 48 m2","Pasar Minggu, Jakarta Selatan"
"Rp 500.000.000","4 KT - 2 KM - 77 m2","Kemang, Jakarta Selatan"
"Rp 500.000.000","4 KT - 2 KM - 77 m2","Cempaka Putih, Jakarta Pusat"
"Rp 8.000.000.000","4 KT - 4 KM - 360 m2","Penjaringan, Jakarta Utara"
"Rp 10.000.000.000","8 KT - 4 KM - 750 m2","Cilandak, Jakarta Selatan"
"Rp 500.000.000","4 KT - 2 KM - 77 m2","Kebon Jeruk, Jakarta Barat"
"Rp 5.500.000.000","6 KT - 4 KM - 300 m2","Jatinegara, Jakarta Timur"
"Rp 10.000.000.000",">10 KT - >10 KM - 1000 m2","Kemang, Jakarta Selatan"
"Rp 8.300.000.000",">10 KT - >10 KM - 850 m2","Cempaka Putih, Jakarta Pusat"
"Rp 1.775.000.000","4 KT - 4 KM - 150 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.500.000.000","4 KT - 4 KM - 120 m2","Jagakarsa, Jakarta Selatan"
"Rp 3.650.000.000","6 KT - 6 KM - 310 m2","Jagakarsa, Jakarta Selatan"
"Rp 9.200.000.000","6 KT - 5 KM - 450 m2","Kembangan, Jakarta Barat"
"Rp 850.000.000","3 KT - 2 KM - 90 m2","Cipayung, Jakarta Timur"
"Rp 1.628.000.000","2 KT - 3 KM - 68 m2","Cempaka Putih, Jakarta Pusat"
"Rp 2.100.000.000","4 KT - 1 KM - 150 m2","Kebayoran Lama, Jakarta Selatan"
"Rp 8.764.000.000","6 KT - 6 KM - 310 m2","Kemang, Jakarta Selatan"
"Rp 2.250.000.000","4 KT - 4 KM - 180 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.025.000.000","3 KT - 2 KM - 100 m2","Jagakarsa, Jakarta Selatan"
"Rp 1.200.000.000","4 KT - 2 KM - 160 m2","Cilandak, Jakarta Selatan"
"Rp 8.500.000.000","4 KT - 3 KM - 600 m2","Cilandak, Jakarta Selatan"
"Rp 700.000.001","2 KT - 2 KM - 58 m2","Jagakarsa, Jakarta Selatan"
"Rp 4.000.000.000","4 KT - 3 KM - 325 m2","Kembangan, Jakarta Barat"
"Rp 10.900.000.000","5 KT - 4 KM - 400 m2","Cilandak, Jakarta Selatan"
"Rp 900.000.000","3 KT - 2 KM - 100 m2","Jagakarsa, Jakarta Selatan"
"Rp 3.700.000.000","6 KT - 4 KM - 250 m2","Pasar Minggu, Jakarta Selatan"
"Rp 11.000.000.000","4 KT - 4 KM - 330 m2","Jagakarsa, Jakarta Selatan"
"Rp 972.500.000","3 KT - 2 KM - 73 m2","Cempaka Putih, Jakarta Pusat"
"Rp 2.000.000.000","4 KT - 2 KM - 200 m2","Duren Sawit, Jakarta Timur"
"Rp 750.000.000","2 KT - 1 KM - 66 m2","Senen, Jakarta Pusat"
"Rp 2.580.000.000","2 KT - 2 KM - 152 m2","Kramat Jati, Jakarta Timur"
"Rp 1.775.000.000","5 KT - 5 KM - 180 m2","Jagakarsa, Jakarta Selatan"
"Rp 900.000.001","3 KT - 2 KM - 58 m2","Cengkareng, Jakarta Barat"
"Rp 2.800.000.000","4 KT - 4 KM - 160 m2","Pulo Gadung, Jakarta Timur"
